Date,Day,Total_Commuters
03-06-2025,Tuesday,920000
04-06-2025,Wednesday,940000
05-06-2025,Thursday,1070000
06-06-2025,Friday,1055000
07-06-2025,Saturday,890000
08-06-2025,Sunday,850000
09-06-2025,Monday,1030000
10-06-2025,Tuesday,1002000
11-06-2025,Wednesday,985000
12-06-2025,Thursday,995000
13-06-2025,Friday,1045000
14-06-2025,Saturday,880000
15-06-2025,Sunday,840000
16-06-2025,Monday,1058000
17-06-2025,Tuesday,1025000
18-06-2025,Wednesday,1001000
19-06-2025,Thursday,1012000
20-06-2025,Friday,1060000
21-06-2025,Saturday,910000
22-06-2025,Sunday,870000
23-06-2025,Monday,1072000
24-06-2025,Tuesday,1040000
25-06-2025,Wednesday,1023000
26-06-2025,Thursday,1010000
27-06-2025,Friday,1075000
28-06-2025,Saturday,930000
29-06-2025,Sunday,890000
30-06-2025,Monday,1080000
01-07-2025,Tuesday,1052000
02-07-2025,Wednesday,1034000
03-07-2025,Thursday,1021000
04-07-2025,Friday,1083000
05-07-2025,Saturday,950000
06-07-2025,Sunday,910000
07-07-2025,Monday,1091000
08-07-2025,Tuesday,1065000
09-07-2025,Wednesday,1042000
10-07-2025,Thursday,1028000
11-07-2025,Friday,1094000
12-07-2025,Saturday,970000
13-07-2025,Sunday,930000
14-07-2025,Monday,1100000
15-07-2025,Tuesday,1073000
16-07-2025,Wednesday,1051000
17-07-2025,Thursday,1035000
18-07-2025,Friday,1102000
19-07-2025,Saturday,990000
20-07-2025,Sunday,950000
21-07-2025,Monday,1108000
22-07-2025,Tuesday,1080000
23-07-2025,Wednesday,1059000
24-07-2025,Thursday,1042000
25-07-2025,Friday,1110000
26-07-2025,Saturday,1010000
27-07-2025,Sunday,970000
28-07-2025,Monday,1115000
29-07-2025,Tuesday,1087000
30-07-2025,Wednesday,1064000
31-07-2025,Thursday,1048000
01-08-2025,Friday,1112000
02-08-2025,Saturday,1030000
03-08-2025,Sunday,980000
04-08-2025,Monday,1120000
05-08-2025,Tuesday,1090000
06-08-2025,Wednesday,1071000
07-08-2025,Thursday,1055000
08-08-2025,Friday,1118000
09-08-2025,Saturday,1045000
10-08-2025,Sunday,1002000
11-08-2025,Monday,1125000
12-08-2025,Tuesday,1050000
31-08-2025,Sunday,980000
15-09-2025,Monday,1025000
03-10-2025,Friday,950000
07-10-2025,Monday,1009970
03-11-2025,Monday,1060000
01-12-2025,Monday,1088000
02-12-2025,Tuesday,1106000
